Publication Year,Author,Title,Publication Title,Url,Report name,Study name,Lab,Ppt grp,Bilingual,Age (mo),Mean age,Mean L2 exp,TE?,Discusses TEs?,TE topic relevant?,Vocab instrument,Method,Metric,C/P,Potentially usable,Study/Measurement,Langs,N,#TE,SD(#TE),%TE,SD(%TE),#TCV,SD(#TCV),#TV,SD(#TV),#TE(calc),SD(#TE(calc)),#TCV(calc),SD(#TCV(calc)),%TE(calc),SD(%TE(calc)),%TE(either),SD(%TE(either)),Other effects,Notes
2002,"Frank, I.; Poulin-Dubois, D.",Young monolingual and bilingual children’s responses to violation of the mutual exclusivity principle.,International Journal of Bilingualism,https://journals.sagepub.com/doi/pdf/10.1177/13670069020060020201,Frank & Poulin-Dubois (2002),Frank & Poulin-Dubois (2002) – Younger,Poulin-Dubois,PoulinDubois4,1,26–28,27.05,32,I,1,1,CDI,CDI; novel word learning,violation of ME,P,,Younger,"eng,fra",26,,,47,22,,,,,,,,,,,47,22,TEs did not predict whether children violated ME (mapping two unfamiliar names to same unfamiliar object),
,,,,,Frank & Poulin-Dubois (2002),Frank & Poulin-Dubois (2002) – Older,Poulin-Dubois,PoulinDubois5,,34–36,35.3,35.5,,,,CDI,,,P,,Older,,28,,,51,29,,,,,,,,,,,51,29,"TE correlated with English vocab, non-Eng vocab, and TCV %TE grew over development Cog control * interaction predicts %TE",
2013,"Woods, Elizabeth A.",The development of translation equivalents in bilingual preschool children,,https://uh-ir.tdl.org/handle/10657/2725,Woods (2013),Woods (2013) – Spanish T0,Woods,Woods1,1,39,39.61,,O,1,1,CDI,CDI; ANT; DCCS,vocab size; cognitive control,P,,Spanish T0,"eng,spa,vie",17,137.8,75.66,39,15,346.33,67.85,,,,,,,39.78864089,23.1952569,39,15,TEs increase over development Cognitive control predicts #TEs,
,,,,,Woods (2013),Woods (2013) – Spanish T1,Woods,Woods1,,45,46.18,,,,,CDI,,,P,,Spanish T1,,17,179.14,84.17,45,16,386.71,73.26,,,,,,,46.32411885,23.46826579,45,16,,
,,,,,Woods (2013),Woods (2013) – Spanish T2,Woods,Woods1,,51,52.29,,,,,CDI,,,P,,Spanish T2,,17,204.77,92.98,47,18,420.46,59.08,,,,,,,48.70142225,23.14848765,47,18,,
,,,,,Woods (2013),Woods (2013) – Vietnamese T0,Woods,Woods2,,39,39.8,,,,,CDI,,,P,,Vietnamese T0,,21,73.63,48.34,28,11,256.13,104.56,,,,,,,28.7471206,22.22429676,28,11,,
,,,,,Woods (2013),Woods (2013) – Vietnamese T1,Woods,Woods2,,45,46.72,,,,,CDI,,,P,,Vietnamese T1,,21,148.42,79.73,40,18,359.08,62.4,,,,,,,41.3334076,23.33685713,40,18,,
,,,,,Woods (2013),Woods (2013) – Vietnamese T2,Woods,Woods2,,51,54.13,,,,,CDI,,,P,,Vietnamese T2,,21,191,86.39,49,17,379.64,52.43,,,,,,,50.31082078,23.79289429,49,17,,
2021,"Anaya, Jissel B.",Identifying the Impact of Word Characteristics on Vocabulary Development in Typically Developing Bilingual School-Age Children,,https://repositories.lib.utexas.edu/bitstream/handle/2152/86908/ANAYA-DISSERTATION-2021.pdf?sequence=1&isAllowed=y,Anaya (2021),Anaya (2021) – 5yo,Anaya,,1,60,,,O,1,,,EOWPVT,vocab size,P,,5yo,"eng,spa",79,,,,,,,,,,,,,,,,,TE known predicts word knowledge TE not known predicts word non-knowledge,No SD
,,,,,Anaya (2021),Anaya (2021) – 6yo,Anaya,,,72,,,,,,,,,P,,6yo,,68,,,,,,,,,,,,,,,,,,No SD
,,,,,Anaya (2021),Anaya (2021) – 7yo,Anaya,,,84,,,,,,,,,P,,7yo,,131,,,,,,,,,,,,,,,,,,No SD
,,,,,Anaya (2021),Anaya (2021) – 8yo,Anaya,,,96,,,,,,,,,P,,8yo,,100,,,,,,,,,,,,,,,,,,No SD
2005,"Conboy, Barbara T.; Thal, Donna J.","Two languages, one developing brain: event-related potentials to words in bilingual toddlers",,,Conboy & Thal (2005),Conboy & Thal (2005),Thal,,,,,,,,,,,,P,,,"eng,spa",,,,,,,,,,,,,,,,,,,Data not available
2020,"Gonzalez-Barrero, Ana Maria; Schott, E; Byers-Heinlein, Krista",Bilingual adjusted vocabulary: A developmentally-informed bilingual vocabulary measure,,https://psyarxiv.com/x7s4u/,Gonzalez-Barrero et al. (2020),Gonzalez-Barrero et al. (2020),Byers-Heinlein,ByersHeinleinArchival,1,18–33,24.2,37.93,O,,,CDI,CDI,vocab size,P,,,"eng,fra",184,,,35.99,19.53,,,,,,,,,,,35.99,19.53,Single language / TCV < monolinguals Adjusted vocab weights TEs differently across age,"dataset overlap with Tsui et al., 2021"
2022,"Mitchell, Lori; Tsui, Rachel K. Y.; Byers-Heinlein, Krista",Cognates are advantaged in early bilingual expressive vocabulary development,,https://psyarxiv.com/daktp/,Mitchell et al. (2022),Mitchell et al. (2022),Byers-Heinlein,ByersHeinleinArchival,1,16–27,20.35,37.02,O,1,1,CDI,CDI,vocab size,P,,,"eng,fra",47,39,50.61,17.64,8.62,,,157,158,,,110,165.9077216,35.45454545,70.5432264,17.64,8.62,,"dataset overlap with Tsui et al., 2021"
2020,"Floccia, Caroline; ;et al.",Translation equivalent and cross-language semantic priming in bilingual toddlers,Journal of Memory and Language,https://www.sciencedirect.com/science/article/pii/S0749596X19301184,Floccia et al. (2020),Floccia et al. (2020),Floccia,,1,27,,,O,1,,,CDI; priming,vocab size,C/P,,,"eng,fra,deu,por,spa",,,,,,,,,,,,,,,,,,"Priming effects were found, irrespective of lang_dom and lang_dist No advantage of TE priming over semantic priming Suggests single dynamic system robust to input variation",Data not available
2005,"Thordardottir, Elin; Rothenberg, Alyssa; Rivard, Marie-Eve; Naves, Rebecca",Bilingual assessment: Can overall proficiency be estimated from separate measurement of two languages?,Journal of Multilingual Communication Disorders,https://www.tandfonline.com/doi/full/10.1080/14769670500215647,Thordardottir et al. (2005),Thordardottir et al. (2005),Thordardottir,,1,28,,,O,1,,,CDI,vocab size,C/P,,,"eng,fra",,,,,,,,,,,,,,,,,,Single language / TCV < monolinguals,Data not accessible (in graph)
2020,"Côté, S. L.; Gonzalez-Barrero, A. M.; Byers-Heinlein, K.",Multilingual Toddlers’ Vocabulary Development in Two Languages: Comparing Bilinguals and Trilinguals,,https://psyarxiv.com/hpqez/,Côté et al. (2020),Côté et al. (2020),Byers-Heinlein,ByersHeinleinArchival,1,17–33,21.8,37.02,O,,,CDI,CDI,vocab size,P,,,"eng,fra",170,,,40.94,16.55,,,,,,,,,,,40.94,16.55,,
